0019_0020_0021_0022_fight_incident | 须藤打架事件 | ai_guided_choice | 2024-06-24 | foreshadow=True | rules=True | D班学生正在寻找目击者证明须藤的清白。栉田桔梗、平田洋介等人积极行动，但堀北铃音认为须藤自身行为有问题。
001_无人岛特别考试_开始 | 无人岛特别考试开始 | fixed_story | 2024-07-31 | foreshadow=False | rules=True | 无人岛特别考试正在进行中。考试期间为7月31日至8月7日正午。各班初始有300点考试专用点数，可购买物资。考试结束时剩余点数将计入班级点数。有占领据点、猜测领导
0021_一之濑合作 | 一之濑帆波提出合作 | ai_guided_choice | 2024-06-26 | foreshadow=True | rules=False | 一之濑帆波作为B班代表，与D班合作寻找证据。她的参与可能影响班级间关系。
0021_一之濑告白事件 | 一之濑帆波被女生告白 | ai_guided_choice | 2024-06-27 | foreshadow=True | rules=False | 一之濑帆波在体育馆后面处理告白事件，绫小路建议她不要用谎言伤害对方。
0021_七月点数发放 | 七月班级点数发放与纠纷 | silent_fixed | 2024-07-01 | foreshadow=True | rules=True | D班获得87点班级点数，但个人点数因打架事件纠纷暂缓发放。
0021_佐仓目击者确认 | 佐仓爱里承认目击打架事件 | fixed_story | 2024-06-30 | foreshadow=True | rules=False | 佐仓爱里成为关键目击者，但她的证词可能因同班身份而受到校方质疑。
002_高圆寺六助_中途退出 | 高圆寺六助中途退出考试 | silent_fixed | 2024-07-31 | foreshadow=False | rules=False | 高圆寺六助以身体不适为由退出考试，D班被扣除30点。他将在游轮上度过一周。
003_D班_发现河川据点 | D班发现河川据点并设为基地营 | ai_guided_choice | 2024-07-31 | foreshadow=False | rules=True | 池宽治等人发现了河川据点。D班需要决定是否占领此据点，以及是否将其设为基地营。占领可获得点数收入，但领导者身份可能暴露。
004_堀北铃音_被选为领导者 | 堀北铃音被选为D班领导者 | ai_guided_choice | 2024-07-31 | foreshadow=False | rules=True | 栉田桔梗推荐堀北铃音担任领导者，平田洋介支持。堀北接受。领导者身份需保密，否则可能被别班猜中导致点数损失。
005_D班_收留C班伊吹澪 | D班收留C班伊吹澪 | ai_guided_choice | 2024-07-31 | foreshadow=False | rules=False | 山内春树、绫小路清隆和佐仓爱里在森林中发现受伤的C班学生伊吹澪。她被同班同学龙园翔殴打后赶出班级。D班需要决定是否收留她。
006_C班_零点作战 | C班实施零点作战 | silent_fixed | 2024-07-31 | foreshadow=False | rules=False | 龙园翔决定在第一天就花光所有300点，让全班享受豪华假期，然后计划以身体不适为由全体退出考试，回到游轮生活。这是一种放弃考试但避免吃苦的策略。
007_D班_发现玉米田 | 绫小路和佐仓发现玉米田 | fixed_story | 2024-08-02 | foreshadow=True | rules=False | 绫小路清隆和佐仓爱里根据高圆寺的暗示，在森林深处发现了一片人工种植的玉米田。这可以大幅节省食物点数。
008_A班_葛城与坂柳派系对立 | A班内部葛城与坂柳派系的对立 | silent_fixed | 2024-08-01 | foreshadow=False | rules=False | A班内部存在葛城派和坂柳派的对立。坂柳有栖因故缺席考试，目前由葛城康平主导。但坂柳派的学生仍在暗中活动，可能影响考试策略。
0097_0098_0099_0100_0101_winter_vacation_events | 寒假系列事件：圣诞节约会与各方动向 | ai_guided_choice | 2024-12-23 | foreshadow=True | rules=False | 圣诞节当天，绫小路清隆与佐藤麻耶进行约会。轻井泽惠和平田洋介作为双重约会的一部分参与其中。这是观察角色关系、情感发展以及潜在策略的重要事件。玩家需要决定绫小路在
009_茶柱佐枝_威胁绫小路 | 茶柱佐枝威胁绫小路清隆以A班为目标 | fixed_story | 2024-07-19 | foreshadow=False | rules=False | 第一学期结业式后，茶柱佐枝老师将绫小路清隆叫到辅导室。她透露自己曾是D班学生，因失误未能升上A班。她威胁绫小路，如果不帮她实现升上A班的梦想，就会制造事端让他退
0153_sakurako_meeting_vision | 坂柳有栖的回忆与觉醒 | fixed_story | 2024-04-01 | foreshadow=True | rules=False | 坂柳有栖回忆起童年时在白色设施中见到绫小路清隆的场景，以及她对天才与教育本质的思考。
0154_teachers_meeting_feb | 教师会议：月城代理理事长宣布一年级特别考试 | fixed_story | 2025-02-28 | foreshadow=True | rules=True | 月城代理理事长在教师会议上宣布了一年级最后一场特别考试的内容，包括班级投票和新的保护点数系统，引发了教师们的争议。真嶋老师提出抗议，但月城坚持己见。
0155_special_exam_announcement | 选拔项目考试宣布 | ai_guided_choice | 2025-03-08 | foreshadow=True | rules=True | 选拔项目考试正在进行中，各班需要决定十个项目，并选出指挥塔。指挥塔在输掉时需退学，但拥有保护点数的学生可以免除。
0156_opponent_selection | 对战班级决定：C班对阵A班 | ai_guided_choice | 2025-03-08 | foreshadow=True | rules=False | 各班的指挥塔在多用途教室集合，通过抽签决定对战班级。D班获得选择权，指名B班，因此A班与C班自动成为对战对手。绫小路清隆暗中操作，确保与A班对决。
0157_keisei_approach_katsuragi | 幸村启诚接触葛城康平 | ai_guided_choice | 2025-03-10 | foreshadow=True | rules=False | 幸村启诚和绫小路清隆在走廊上拦住葛城康平，试图说服他背叛A班，提供情报并在考试中放水。葛城最终同意提供情报，但拒绝放水。
0158_b_class_harassment | D班对B班的骚扰行动 | fixed_story | 2025-03-10 | foreshadow=True | rules=False | D班对B班进行持续的骚扰和跟踪，试图影响B班的考试准备。
0159_hirata_restoration | 平田洋介的恢复与回归 | ai_guided_choice | 2025-03-11 | foreshadow=True | rules=False | 绫小路清隆在榉树购物中心找到平田洋介，通过严厉的对话和指责，迫使平田面对自己的责任和过去，最终帮助他恢复斗志。
0160_final_battle_begin | 选拔项目考试正式对决：C班对阵A班 | ai_guided_choice | 2025-03-22 | foreshadow=True | rules=True | 选拔项目考试正式举行，C班与A班在多用途教室进行对决。绫小路清隆作为C班指挥塔，坂柳有栖作为A班指挥塔。考试包括西洋棋、快速心算、围棋、现代文考试、社会科考试、
0168_图书馆冲突与调解 | 图书馆冲突与一之濑调解 | ai_guided_choice | 2024-04-15 | foreshadow=True | rules=False | 一之濑成功调解冲突，但注意到绫小路清隆在场。
0168_小测试结果公布 | 小测试结果公布与班级竞争意识 | fixed_story | 2024-04-15 | foreshadow=True | rules=True | B班学生因平均分接近A班而兴奋，一之濑提醒不要轻敌，并提议组织学习会。
0169_paper_shuffle考试结果 | Paper Shuffle考试结果与B班反思 | fixed_story | 2024-12-15 | foreshadow=True | rules=False | 一之濑决定继续与堀北合作，并警惕坂柳和龙园。柴田邀请大家去榉树购物中心放松。
0169_坂柳的求助 | 坂柳有栖向一之濑求助 | ai_guided_choice | 2024-12-15 | foreshadow=True | rules=False | 一之濑接受请求，但柴田提醒她警惕坂柳。
0170_暑假旅行前的早晨 | 暑假旅行前的早晨与青春感悟 | fixed_story | 2024-08-01 | foreshadow=True | rules=False | 一之濑鼓励大家享受青春，绫小路意识到自己身处青春之中。
0171_自带盒饭日与料理对决 | 自带盒饭日与料理对决 | ai_guided_choice | 2024-05-20 | foreshadow=True | rules=False | 三人到中庭进行料理对决，绫小路判定平手。堀北和栉田短暂露出笑容。
0172_寒假第一天C班内部反思 | 寒假第一天C班内部反思 | fixed_story | 2024-12-23 | foreshadow=True | rules=False | 伊吹与石崎、阿尔伯特、椎名日和讨论C班现状，伊吹对自己未能阻止龙园感到愤怒。
0173_虚拟游戏体验 | 虚拟游戏体验与堀北的冒险 | ai_guided_choice | 2024-06-10 | foreshadow=True | rules=False | 池和外村被狼击败，堀北在绫小路鼓励下击败狼群，对游戏产生兴趣。
0204_ayanokouji_group_reconciliation | 绫小路组和解 | fixed_story | 2025-04-30 | foreshadow=True | rules=False | 绫小路组内部达成和解，幸村决定接受绫小路隐藏实力的说法，并继续作为小组一员。
0204_ichinose_encounter | 与一之濑和神崎的偶遇 | fixed_story | 2025-04-30 | foreshadow=True | rules=False | 一之濑和神崎对绫小路的态度形成鲜明对比，暗示了二年C班内部的分歧。
0204_math_full_score_revelation | 绫小路数学满分引发班级质疑 | fixed_story | 2025-04-30 | foreshadow=True | rules=False | 绫小路数学满分的消息在二年级中传开，成为热议话题。堀北的辩护暂时平息了班级内的质疑，但幸村等人仍心存疑虑。
0205_horimi_joins_student_council | 堀北铃音加入学生会 | ai_guided_choice | 2025-05-07 | foreshadow=True | rules=False | 堀北铃音正式成为学生会成员，开始接触学生会的内部事务。南云雅对绫小路和堀北表现出兴趣，暗示未来将有动作。
0205_keisei_room_date_interrupted | 轻井泽惠房间约会与天泽一夏闯入 | fixed_story | 2025-05-07 | foreshadow=True | rules=False | 天泽一夏的突然出现打断了绫小路和轻井泽的亲密时刻，并揭示了更多关于两千万点悬赏和宝泉事件的线索。绫小路被迫向轻井泽解释部分真相。
0205_sudou_confrontation | 须藤的质问与认可 | fixed_story | 2025-05-07 | foreshadow=True | rules=False | 须藤与绫小路达成默契，须藤承诺保守秘密，并视绫小路为班级升上A班的关键人物。
0206_class_discussion_on_strategy | D班小组战略讨论 | fixed_story | 2025-06-16 | foreshadow=True | rules=False | D班内部对无人岛考试的战略进行了初步讨论，但尚未形成统一意见。堀北要求学生在班级内部达成一致前不要擅自组队。
0206_horimi_decision_on_ike | 堀北对池问题的处理 | fixed_story | 2025-06-17 | foreshadow=True | rules=False | 堀北意识到池的感情问题已无法通过简单方式解决，转而寻求减少对考试影响的策略。
0206_ike_and_shinohara_conflict | 池宽治与筱原皐月的组队纠纷 | fixed_story | 2025-06-17 | foreshadow=True | rules=False | 池宽治和筱原皐月的组队问题成为D班内部的一个不稳定因素，可能影响池在无人岛考试中的表现。
0206_ishizaki_help_on_komiya | 调查小宫叶吾的意图 | fixed_story | 2025-06-17 | foreshadow=True | rules=False | 了解到小宫的计划后，绫小路意识到池宽治的感情问题可能影响无人岛考试，决定与堀北商议对策。
0206_ishizaki_invitation | 石崎大地的组队邀请 | ai_guided_choice | 2025-06-16 | foreshadow=True | rules=False | 石崎大地的邀请代表了B班内部对绫小路实力的认可，但也暗示了班级间的竞争和拉拢。绫小路决定暂时不加入任何小组，以观察形势。
